ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
10.199412694268364,256.7043381897342,28703.75114009072,7.940595236383766,326.462665812632,552.1621808069771,8.802846639183713,,4.384868014016786,0
7.766186660186794,223.05783462089016,14945.29566061532,6.026816569538075,,482.4062360912003,6.7477612886625025,83.18675082133143,3.6742254421508536,0
,191.30135942872252,17540.576642695825,8.77972626215979,,323.81211621457146,19.072827270864025,61.56032811031777,4.129300910378934,0
9.75657762790083,244.4613420526374,17940.099080400287,7.149052944175392,,337.7135685501509,23.66766677904957,73.23346576083395,3.7490092578160197,0
,159.39939804233876,61227.19600771213,3.713593555870997,312.97625428739843,377.0679724052103,17.24669811069532,82.19723305150072,3.8608066031653014,0
6.406797812679788,182.8851372288629,17851.064020849422,7.462757885345703,332.4867310535757,398.77974639060074,17.301616541911528,64.07023583715193,4.573968264696438,0
,253.05438889374375,28864.910280691725,8.524370962272128,364.749482396199,479.69976285617093,15.823074288411533,70.7581896914079,4.697040686340625,0
8.445219158974174,228.52286023963038,28966.569326843928,6.179855164933626,,361.7053539670713,14.554220040506436,60.612230200645996,4.400705861502303,0
4.137044912614196,116.33827811922914,17101.95156861621,8.652210468304967,322.89225232255393,360.64807839886765,7.848312949150397,70.97700107955893,4.327356026643432,0
7.675913621057367,233.3007587362074,23673.10060598764,8.407497057013636,,232.61362402653702,18.459407785418875,60.99359036387728,5.040460814701462,0
,243.68255829149018,20976.79177763301,6.502257263114666,350.44989739796654,487.55649299616505,10.451629244676667,84.17884541140899,3.5584448016334145,0
5.701100970110508,170.49631109661308,17121.505917055238,9.536011425597028,374.7758755692835,378.87385464972425,10.972150061025957,63.293296281629715,5.9567534977880054,0
6.376576427120522,177.50998975353576,41243.03802854971,6.669920257654474,,486.80605077046766,13.490787682898599,65.36639188729397,4.161585514695004,0
5.517737316420501,190.6699278409826,17638.322473218224,10.525857765559618,,461.92898116329553,12.531684282728747,44.88784333517118,4.523106007500935,0
3.854617678402051,131.396253059016,19639.796002280356,7.753502379748802,305.3829137083549,456.51227379334506,16.86472165193419,81.52612291427974,4.2904350458230125,0
